‰„«œ;‰«„; ⁄œ«œ;ÕÃ„;«—“‘;œ?—Ê“;«Ê·?‰;¬Œ—?‰ „⁄«„·Â - „ﬁœ«—;¬Œ—?‰ „⁄«„·Â -  €??—;¬Œ—?‰ „⁄«„·Â - œ—’œ;ﬁ?„  Å«?«‰? - „ﬁœ«—;ﬁ?„  Å«?«‰? -  €??—;ﬁ?„  Å«?«‰? - œ—’œ;ò„ —?‰;»?‘ —?‰;EPS;P/E;Œ—?œ -  ⁄œ«œ;Œ—?œ - ÕÃ„;Œ—?œ - ﬁ?„ ;›—Ê‘ - ﬁ?„ ;›—Ê‘ - ÕÃ„;›—Ê‘ -  ⁄œ«œ
¬”«„Ìœ;’‰œÊﬁ ”.„‘ —ﬂ ¬”„«‰ «„Ìœ -œ;80;2796117;29296995201;10495;10500;10470;-25.00;-0.24;10478;-17.00;-0.16;10462;10500;;;1;13078;10470;10478;500;1
÷”«‰7067;«Œ Ì«—Œ Å«—”«‰-36000-99/07/15;0;0;0;1;0;1;0;0;1;0;0;0;0;;;1;100;1;0;0;0
ﬂ”«ÊÂ;’‰«Ì⁄ù ﬂ«‘Ìù Ê ”—«„Ìﬂù ”Ì‰«;1498;2209858;96470147660;42490;41370;44610;2,120.00;4.99;43650;1,160.00;2.73;41200;44610;1328;32.87;31;317362;44610;44610;4040;3
÷€œ—8043;«Œ Ì«—Œ Ê€œÌ—-16000-1399/08/26;3;8;80800000;10388;10800;10000;-388.00;-3.74;10100;-288.00;-2.77;10000;10800;;;0;0;0;0;0;0
“œ‘ ;ﬂ‘  Ê ’‰⁄  œ‘  Œ—„ œ—Â;1959;6919180;4.86121E+11;66912;70257;70257;3,345.00;5.00;70257;3,345.00;5.00;70257;70257;522;134.59;372;4089852;70257;70257;194;6
ÊÂÊ—;„œÌ—Ì  «‰—éÌ «„Ìœ   «»«‰ ÂÊ—;1158;2568742;1.15776E+11;47443;45071;45071;-2,372.00;-5.00;45071;-2,372.00;-5.00;45071;45071;332;135.76;18;8282;45071;45071;3345973;641
›«—”;’‰«Ì⁄ Å —Ê‘Ì„Ì Œ·ÌÃ ›«—”;18720;53190336;1.6298E+12;29430;30000;30900;1,470.00;4.99;30640;1,210.00;4.11;29810;30900;824;37.18;2819;13832002;30900;30900;28275;65
›·«„Ì;·«„Ì—«‰ù;608;334819;46941623800;133530;140200;140200;6,670.00;5.00;140200;6,670.00;5.00;140200;140200;2181;64.28;165;53149;140200;140200;41;2
Ê‰ÌﬂÌ;”—„«ÌÂùê–«—Ìù „·Ìù«Ì—«‰ù;80;306970;11680208500;36240;38050;38050;1,810.00;4.99;36440;200.00;0.55;38050;38050;1992;18.29;2607;87566171;38050;0;0;0
 ‰ÊÌ‰; «„Ì‰ ”—„«ÌÂ ‰ÊÌ‰;2961;23272223;3.58745E+11;14710;15440;15440;730.00;4.96;15420;710.00;4.83;15000;15440;884;17.44;378;7620018;15440;15440;61089;5
÷Å«”7019;«Œ Ì«—Œ ÊÅ«—”-4800-1399/07/30;0;0;0;1102;0;1100;-2.00;-0.18;1102;0;0;0;0;;;0;0;0;1500;1;1
«Œ“«815;«”‰«œŒ“«‰Â-„15»ÊœÃÂ98-010406;124;132900;95686342902;717125;713516;719230;2,105.00;0.29;719987;2,862.00;0.40;713516;723636;;;1;2086;719230;721988;750;2
÷’«œ8010;«Œ Ì«—Œ Ê»’«œ—-2400-1399/08/11;0;0;0;3000;0;3000;0;0;3000;0;0;0;0;;;1;2;1501;2399;5;1
“Ì—0003Å01;“Ì—Â ”»“0003ﬂÌ„Ì«»–—(Å);38;2607;1188371149;470687;450000;494220;23,533.00;5.00;455839;-14,848.00;-3.15;447153;494220;;;1;500;479000;494220;336;1
Ê”«Œ ;”—„«ÌÂù ê–«—Ìù ”«Œ „«‰ù«Ì—«‰ù;4598;6157870;3.94771E+11;63500;66490;64040;540.00;0.85;64110;610.00;0.96;63580;66490;3977;16.12;14;11046;64050;64050;23638;25
÷›«—8027;«Œ Ì«—Œ ›«—”-13000-1399/08/06;2;16;335999000;18453;20999;21000;2,547.00;13.80;21000;2,547.00;13.80;20999;21000;;;1;30;17505;22400;15;1
ﬂÂ—«„; Ê·ÌœÌ ê—«‰Ì  »Â”—«„;241;314266;12475997990;40552;40580;39336;-1,216.00;-3.00;40020;-532.00;-1.31;39336;41760;-312;-128.27;0;0;0;39336;4221;3
÷ —«8024;«Œ Ì«—Œ ‘ —«‰-8830-1399/08/11;0;0;0;42000;10000;42000;0;0;42000;0;0;0;0;;;1;5;25000;43000;1;1
«›«œ74;„‰›⁄  œÊ· 7-‘.Œ«’ ”«Ì—0204;0;0;0;840000;0;840000;0;0;840000;0;0;0;0;;;6;30000;882000;0;0;0
÷Å‰«7047;«Œ Ì«—Œ —„Å‰«-72000-1399/07/13;12;118;472175000;5339;4850;3800;-1,539.00;-28.83;4001;-1,338.00;-25.06;3800;4850;;;1;50;1980;4400;22;1
‰Ê—Ì·02;«Ã«—Â —Ì· Å—œ«“ ‰Ê¬›—Ì‰021213;0;0;0;1000000;0;1000000;0;0;1000000;0;0;0;0;;;1;1500;1000000;0;0;0
÷‘‰«7072;«Œ Ì«—Œ ‘Å‰«-21600-1399/07/28;0;0;0;32000;0;32000;0;0;32000;0;0;0;0;;;0;0;0;35000;10;1
÷»œ—8070;«Œ Ì«—Œ ‘»‰œ—-59580-1399/08/18;11;82;1066000000;16025;13000;13000;-3,025.00;-18.88;13000;-3,025.00;-18.88;13000;13000;;;1;4;12000;0;0;0
“Ì—0003Å03;“Ì—Â ”»“0003‘—ﬂ  »ÌÂﬁ(Å);0;0;0;490073;0;490073;0;0;490073;0;0;0;0;;;1;1000;447153;0;0;0
Ê€œÌ—;”—„«ÌÂùê–«—Ìù€œÌ—(Â·œÌ‰êù;16824;98488550;2.21446E+12;21900;21760;22990;1,090.00;4.98;22480;580.00;2.65;21730;22990;653;34.43;5521;83973138;22990;22990;121299;94
÷€œ—8033;«Œ Ì«—Œ Ê€œÌ—-8010-1399/08/26;4;50;815000000;14234;16300;16300;2,066.00;14.51;16300;2,066.00;14.51;16300;16300;;;1;5;14510;20000;11;1
“‘ê“«;‘Ì— Ê êÊ‘  “«ê—” ‘Â—ﬂ—œ;1608;897073;1.11862E+11;124955;129657;124500;-455.00;-0.36;124697;-258.00;-0.21;120900;129657;2791;44.68;4;1096;124000;124000;597;4
„ÌÂ‰;»Ì„Â „ÌÂ‰;745;3842807;40530085429;11102;10547;10547;-555.00;-5.00;10648;-454.00;-4.09;10547;10547;14;760.57;3;24781;10547;10547;14997267;502
“‘—Ì›;ﬂ‘  Ê’‰⁄  ‘—Ì› ¬»«œ;2266;2356887;89786254445;39123;38200;37861;-1,262.00;-3.23;38095;-1,028.00;-2.63;37500;39437;1039;36.67;8;3030;37861;37861;5274;7
 „·Ì804; ”ÂÌ·«  „”ﬂ‰ ». „·Ì- Ì—98;0;0;0;174232;0;174232;0;0;174232;0;0;0;0;;;1;30;174232;174232;31;2
÷ŒÊœ7053;«Œ Ì«—Œ ŒÊœ—Ê-3200-1399/07/09;1;1;3000000;470;3000;3000;2,530.00;538.30;3000;2,530.00;538.30;3000;3000;;;1;1;3011;4399;40;1
÷ —«8037;«Œ Ì«—Œ ‘ —«‰-21830-1399/08/11;0;0;0;31410;0;31410;0;0;31410;0;0;0;0;;;0;0;0;31400;1;1
Œ»Â„‰;ê—ÊÂù»Â„‰ù;2625;22139379;7.55174E+11;32490;34110;34110;1,620.00;4.99;34110;1,620.00;4.99;34110;34110;529;64.48;3050;44325160;34110;34110;69835;37
«—Ê‰œ05;„‰›⁄  ’»« «—Ê‰œ ·Ê Ê” 14001113;0;0;0;1020000;0;1020000;0;0;1020000;0;0;0;0;;;1;11;1000002;1071000;239;2
”‘—ﬁ;”Ì„«‰ù ‘—ﬁù;8465;29310891;3.83642E+11;13100;12900;13040;-60.00;-0.46;13090;-10.00;-0.08;12510;13750;414;31.62;34;31260;13040;13040;30302;23
Ã„ ÅÌ·‰;Å·Ì Å—ÊÅÌ·‰ Ã„ - Ã„ ÅÌ·‰;3502;3154057;3.20375E+11;97960;101190;97920;-40.00;-0.04;101580;3,620.00;3.70;95030;102850;4835;21.01;16;6559;97010;97010;3326;5
÷€œ—8047;«Œ Ì«—Œ Ê€œÌ—-20000-1399/08/26;17;117;931992000;7975;8000;8100;125.00;1.57;7966;-9.00;-0.11;7400;8448;;;1;2;7000;0;0;0
’Ì‰«205;’ﬂÊﬂ „‰›⁄  ”Ì‰« œ«—Ê-3„«ÂÂ 19%;1;3;3060000;1006889;1020000;1020000;13,111.00;1.30;1020000;13,111.00;1.30;1020000;1020000;;;1;2;1020000;1030000;3;1
”œÊ—;”Ì„«‰ù œÊ—Êœ;2421;9176290;1.04963E+11;11710;11890;11450;-260.00;-2.22;11440;-270.00;-2.31;11150;11890;147;77.82;7;13912;11440;11440;27547;14
”·«„ 3;„—«»ÕÂ œÊ· Ì  ⁄«Ê‰-«„Ìœ991118;0;0;0;1022000;0;1022000;0;0;1022000;0;0;0;0;;;1;3000;1005000;0;0;0
÷›«—8029;«Œ Ì«—Œ ›«—”-15000-1399/08/06;7;29;578197000;17300;19000;20000;2,700.00;15.61;19938;2,638.00;15.25;19000;20000;;;1;2;19000;20450;5;1
œ«—«»;Å —Ê‘Ì„Ì œ«—«»;1193;9549277;37024280918;3985;3950;3866;-119.00;-2.99;3877;-108.00;-2.71;3866;3950;11;352.45;14;48610;3866;3866;9060661;612
‘ﬂ—»‰;ﬂ—»‰ù «Ì—«‰ù;1215;883255;85580421940;101960;96870;96870;-5,090.00;-4.99;96890;-5,070.00;-4.97;96870;100000;1921;50.44;2;197;96870;96870;252519;195
‘” «004;«Ã«—Â  «„Ì‰ «Ã „«⁄Ì-‰ÊÌ‰000523;0;0;0;1035000;1138500;1035000;0;0;1035000;0;0;0;0;;;6;223;1138500;0;0;0
÷„·Ì8058;«Œ Ì«—Œ ›„·Ì -7750-1399/08/06;0;0;0;23000;0;23001;1.00;0;23000;0;0;0;0;;;0;0;0;29900;50;1
Ê ⁄«Ê‰;»Ì„Â   ⁄«Ê‰;1558;12546072;87913168870;7192;7344;7003;-189.00;-2.63;7007;-185.00;-2.57;6977;7344;76;92.2;5;28761;7080;7080;135527;7
”Å—„Ì;Å—„Ì ù;78;720510;6113589272;8425;8500;8509;84.00;1.00;8485;60.00;0.71;8341;8509;-1608;-5.28;5;35421;8509;0;0;0
÷ÅÌﬂ7022;«Œ Ì«—Œ  «ÅÌﬂÊ-10000-99/07/20;5;10;138950000;8000;13999;13400;5,400.00;67.50;13895;5,895.00;73.69;13400;14300;;;1;9;13400;13401;2;2
ﬂÌ„Ì«;„⁄œ‰Ì ﬂÌ„Ì«Ì “‰Ã«‰ ê” —«‰;4731;6223052;2.48644E+11;42031;39940;40200;-1,831.00;-4.36;39955;-2,076.00;-4.94;39930;41490;1565;25.53;6;8225;40200;40200;42000;20
«Œ“«804;«”‰«œŒ“«‰Â-„4»ÊœÃÂ98-000421;18;15623;13321338828;853927;855000;851141;-2,786.00;-0.33;852675;-1,252.00;-0.15;850000;857500;;;1;100;843000;856000;500;1
÷’«œ8021;«Œ Ì«—Œ Ê»’«œ—-4600-1399/08/11;1;35;42000000;1250;1200;1200;-50.00;-4.00;1200;-50.00;-4.00;1200;1200;;;1;1;1100;1850;50;1
„»Ì‰;„»Ì‰ «‰—éÌ Œ·ÌÃ ›«—”;2535;8810571;2.73346E+11;31950;31790;31040;-910.00;-2.85;31020;-930.00;-2.91;30700;31790;2226;13.94;3;10614;31040;31040;1539;8
—ﬂÌ‘;ﬂ«—  «⁄ »«—Ì «Ì—«‰ ﬂÌ‘;5081;22442328;6.2159E+11;27210;27500;28500;1,290.00;4.74;27700;490.00;1.80;25850;28570;441;62.81;16;34822;28470;28470;27105;6
’ŒÊœ0004;’ﬂÊﬂ —Â‰Ì ŒÊœ—Ê0004- 3„«ÂÂ 16%;2;10;9700000;970000;970000;970000;0;0;970000;0;0;970000;970000;;;1;2235;970000;1018500;11;2
Œ›‰—;›‰—”«“ÌùŒ«Ê—;1522;4086588;1.10726E+11;26000;25310;27300;1,300.00;5.00;27100;1,100.00;4.23;25310;27300;158;171.52;256;1306425;27300;27300;16070;7
÷ŒÊœ7052;«Œ Ì«—Œ ŒÊœ—Ê-1400-1399/07/09;0;0;0;5800;0;6600;800.00;13.79;5800;0;0;0;0;;;1;1;4609;0;0;0
Ê¬—Ì‰Õ;Õ. ‘—ﬂ   Ê”⁄Â «ﬁ ’«œÌ ¬—Ì‰;361;2653471;16814138098;6531;6336;6336;-195.00;-2.99;6337;-194.00;-2.97;6336;6400;;;1;900;6336;6336;327938;19
